"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Class","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"may-g1",1,1,0,4.160949109,315.5692245,2.499094643,"Before","Schreck",15.1993464,1.181824913,9,0.113097336,11,0.040840704,-1.388906775,1.160611984,2.230093636
"may-g1",1,1,0,24.94659017,315.5692245,2.499094643,"Before","Schreck",5.830685319,0.765719603,4,0.065973446,8,0,-1000,2.270593231,0.842884906
"may-g1",1,1,0,17.71488,315.5692245,2.499094643,"Before","Schreck",38.59806785,1.586565565,19,0.050265482,17,0.053407075,-1.272401206,0.280615004,3.382885474
"may-g1",1,1,0,6.713474199,315.5692245,2.499094643,"Before","Schreck",8.435592589,0.926115597,5,0,30,0.021991149,-1.657752087,1.156041706,1.612611475
"may-g1",1,1,0,59.86947171,315.5692245,2.499094643,"Before","Schreck",18.76949345,1.273452552,13,0.163362818,8,0.009424778,-2.025728873,0.794001031,1.705695239
"may-g1",1,1,0,10.17562073,315.5692245,2.499094643,"Before","Schreck",35.72254606,1.552942405,17,0.043982297,18,0.015707963,-1.803880123,0.340913474,3.37721642
"may-g1",1,1,0,20.45405589,315.5692245,2.499094643,"Before","Schreck",39.36008904,1.595056072,20,0.015707963,27,0.20106193,-0.696670153,0.42987411,3.503120666
"may-g1",1,1,0,43.91119951,315.5692245,2.499094643,"Before","Schreck",10.02775363,1.001203655,7,0.345575192,3,0.04712389,-1.326758868,0.343446183,0.555751889
"may-g1",1,1,0,20.98521007,315.5692245,2.499094643,"Before","Schreck",27.93131528,1.446091387,15,0,39,0.009424778,-2.025728873,1.766566484,2.534975862
"may-g1",1,1,0,13.22381374,315.5692245,2.499094643,"Before","Schreck",43.93436402,1.642804344,21,0.072256631,20,0,-1000,0.594648995,3.936787585
"may-g1",1,1,0,15.44898264,315.5692245,2.499094643,"Before","Schreck",20.88064519,1.319743914,14,0.157079633,8,0.034557519,-1.461457442,0.692782131,1.269747138
"may-g1",1,1,0,20.53593716,315.5692245,2.499094643,"Before","Schreck",9.576806186,0.981220698,6,0,21,0.056548668,-1.247577622,1.695660908,1.637786416
"may-g1",1,1,0,35.19438392,315.5692245,2.499094643,"Before","Schreck",11.36495623,1.055567767,8,0,20,0.015707963,-1.803880123,2.049272362,0.58657656
"may-g1",1,1,0,41.96355206,315.5692245,2.499094643,"Before","Schreck",0.898185886,-0.046633774,2,3.182433358,1,0.015707963,-1.803880123,1.82078706,1.454996743
"may-g1",1,1,0,25.43767619,315.5692245,2.499094643,"Before","Schreck",18.4903452,1.266945019,12,0,20,0.009424778,-2.025728873,1.964272618,1.167993626
"may-g1",1,1,0,8.618304142,315.5692245,2.499094643,"Before","Schreck",2.190594619,0.340562017,3,2.95938028,2,0.009424778,-2.025728873,1.414498078,0.15253338
"may-g1",1,1,0,95.99834572,315.5692245,2.499094643,"Before","Schreck",0.25868703,-0.587225346,1,1.445132621,2,0.119380521,-0.923066531,1.676994627,3.167815857
"may-g1",1,1,0,23.97263645,315.5692245,2.499094643,"Before","Schreck",35.97537837,1.55600537,18,0,26,0.034557519,-1.461457442,1.860829154,2.422264605
"may-g1",1,1,0,69.45500802,315.5692245,2.499094643,"Before","Schreck",16.47720001,1.216883413,10,0,28,0.018849556,-1.724698877,1.980296588,1.254971093
"may-g1",1,1,0,8.548476867,315.5692245,2.499094643,"Before","Schreck",18.32760189,1.263105643,11,0,33,0.006283185,-2.201820132,1.851413351,1.455274766
"may-g1",1,1,0,56.26028531,315.5692245,2.499094643,"Before","Schreck",35.51085119,1.550361082,16,0,33,0.037699112,-1.423668881,1.86688081,4.92204353
"may-g1",2,2,0,12.79351798,541.3559604,2.733482923,"Before","Schreck",43.4576333,1.638066071,19,0.163362818,4,0.028274334,-1.548607618,1.956656538,5.812017862
"may-g1",2,2,0,17.77227895,541.3559604,2.733482923,"Before","Schreck",29.79786729,1.474185182,11,0,33,0.018849556,-1.724698877,0.047716091,5.9842479
"may-g1",2,2,0,47.80755458,541.3559604,2.733482923,"Before","Schreck",45.672326,1.65965313,21,0.069115038,13,0.075398224,-1.122638886,2.819490982,5.871129552
"may-g1",2,2,0,48.60624841,541.3559604,2.733482923,"Before","Schreck",6.266311997,0.797012014,2,0.559203492,2,0.031415927,-1.502850127,2.437623707,0.025491292
