"Trial","Event_raw","Event_trial","Response","Resp_Int","Initiator","Log_Init","When","Dist_metric","Log_dist_metric","Dist_topological","Ang_area","Rank_area","Loom","Log_loom","Ang_pos","Heading"
"g1",1,1,1,564.2900333,1233.625651,3.091183391,"Before",3.477335912,0.541246646,1,2.978229836,1,0.012566371,-1.900790136,0.963774278,0.839930008
"g1",1,1,0,56.20244229,1233.625651,3.091183391,"Before",11.62894239,1.065540219,4,0.631460123,1,0.835663646,-0.077968491,0.636814661,1.734062745
"g1",1,1,0,8.615241925,1233.625651,3.091183391,"Before",40.01870341,1.602263014,15,0.072256631,12,0.04712389,-1.326758868,0.818769351,0.740605473
"g1",1,1,0,70.08977202,1233.625651,3.091183391,"Before",42.32286654,1.626575075,16,0.135088484,8,0.05969026,-1.224096526,0.626816053,0.613898897
"g1",1,1,0,27.51009286,1233.625651,3.091183391,"Before",23.14269118,1.36441386,8,0,27,0,-1000,0.16328991,0.946426363
"g1",1,1,0,35.31131749,1233.625651,3.091183391,"Before",24.97024498,1.397422803,9,0.289026524,5,0.009424778,-2.025728873,0.834701551,0.783372175
"g1",1,1,0,27.7788505,1233.625651,3.091183391,"Before",35.00382644,1.544115522,12,0,30,0,-1000,0.099711581,0.838580201
"g1",1,1,0,73.34833275,1233.625651,3.091183391,"Before",19.24657831,1.284353531,6,0.36756634,3,0.223053078,-0.651591779,0.759512921,0.690873774
"g1",1,1,0,14.42694878,1233.625651,3.091183391,"Before",10.94037693,1.039032285,3,0.232477856,7,0.053407075,-1.272401206,0.123975147,1.489868101
"g1",1,1,0,20.89281738,1233.625651,3.091183391,"Before",32.59512255,1.513152618,10,0,32,0.056548668,-1.247577622,0.247435007,0.847690321
"g1",1,1,0,21.47033156,1233.625651,3.091183391,"Before",33.08199594,1.519591704,11,0.166504411,14,0.003141593,-2.502850127,0.562180216,0.665605302
"g1",1,1,0,1.418894599,1233.625651,3.091183391,"Before",47.61054521,1.677703155,18,0.009424778,30,0.241902634,-0.616359402,0.46140701,0.707213211
"g1",1,1,0,7.820070592,1233.625651,3.091183391,"Before",47.16158336,1.673588377,17,0,30,0.251327412,-0.59976014,0.266806407,0.628955507
"g1",1,1,0,6.310929883,1233.625651,3.091183391,"Before",39.01245384,1.591203268,13,0.078539816,15,0.012566371,-1.900790136,0.51680929,0.777802283
"g1",1,1,0,41.77670513,1233.625651,3.091183391,"Before",13.76353945,1.138730132,5,0.169646003,7,0.069115038,-1.160427446,0.092620165,1.377295018
"g1",1,1,0,3.97174725,1233.625651,3.091183391,"Before",39.10290957,1.592209074,14,0.15393804,10,0.069115038,-1.160427446,0.657769091,0.815676847
"g1",1,1,0,16.42008565,1233.625651,3.091183391,"Before",22.58246033,1.353771256,7,0,21,0.025132741,-1.59976014,0.35153135,0.8827292
"g1",2,2,0,69.64470728,294.2867574,2.46877072,"Before",12.60041504,1.10038485,3,0.684867198,2,0.012566371,-1.900790136,1.927543539,2.677523783
"g1",2,2,0,8.651737059,294.2867574,2.46877072,"Before",31.63852513,1.50021623,9,0.087964594,15,0.006283185,-2.201820132,2.749660284,3.053326784
"g1",2,2,0,34.94688734,294.2867574,2.46877072,"Before",20.95327856,1.321251987,5,0.10681415,10,0.072256631,-1.141122291,0.27106142,0.497323472
"g1",2,2,0,23.44470404,294.2867574,2.46877072,"Before",45.89334422,1.661749706,13,0.081681409,18,0.003141593,-2.502850127,2.857736774,2.497288832
"g1",2,2,0,29.69257592,294.2867574,2.46877072,"Before",12.45257405,1.095259133,2,0.424115008,2,0.037699112,-1.423668881,1.146172286,0.942584386
"g1",2,2,0,41.26073403,294.2867574,2.46877072,"Before",38.6224038,1.5868393,11,0.009424778,27,0.028274334,-1.548607618,2.601344706,5.575320344
"g1",2,2,0,11.40312087,294.2867574,2.46877072,"Before",40.72108805,1.609819374,12,0.031415927,18,0.028274334,-1.548607618,2.680036473,2.529061152
"g1",2,2,0,16.5709056,294.2867574,2.46877072,"Before",25.89889723,1.413281272,7,0,25,0.009424778,-2.025728873,2.373312667,2.753544112
"g1",2,2,0,22.39364792,294.2867574,2.46877072,"Before",13.14125491,1.11863684,4,0,28,0.037699112,-1.423668881,2.397942628,2.004597181
"g1",2,2,0,25.50376328,294.2867574,2.46877072,"Before",30.09097494,1.478436259,8,0.021991149,27,0.012566371,-1.900790136,0.186726565,0.575874074
