delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
0.0,0,17,20,3,0.425,0.5,0.075,3.544641362469494
0.0,4,6,30,4,0.15,0.75,0.1,3.001367271136387
0.0,9,10,28,2,0.25,0.7,0.05,3.2469934052683356
0.0,5,6,30,4,0.15,0.75,0.1,6.465827352279808
0.0,6,7,31,2,0.175,0.775,0.05,3.701408596072156
0.0,7,3,32,5,0.075,0.8,0.125,3.557583113421144
0.0,11,6,29,5,0.15,0.725,0.125,5.014548181206239
0.0,1,5,32,3,0.125,0.8,0.075,4.139405896460121
0.0,8,7,30,3,0.175,0.75,0.075,3.53261787425526
0.0,10,9,29,2,0.225,0.725,0.05,3.342086158323675
0.0,3,6,32,2,0.15,0.8,0.05,3.807727742884487
0.0,2,8,29,3,0.2,0.725,0.075,3.214755504173366
0.0,12,6,32,2,0.15,0.8,0.05,3.658576659498621
0.0,13,13,26,1,0.325,0.65,0.025,3.4732608361353288
0.0,19,18,19,3,0.45,0.475,0.075,3.3346269960712314
0.0,14,5,29,6,0.125,0.725,0.15,4.138862183201765
0.0,16,7,32,1,0.175,0.8,0.025,7.24563999593223
0.0,17,4,34,2,0.1,0.85,0.05,3.7308709460187695
0.0,15,9,27,4,0.225,0.675,0.1,3.9820178724878814
0.0,21,10,24,6,0.25,0.6,0.15,3.5819202511297483
0.0,18,8,31,1,0.2,0.775,0.025,3.2101615684520213
0.0,24,11,28,1,0.275,0.7,0.025,4.016580193333313
0.0,22,3,35,2,0.075,0.875,0.05,3.9490293051023393
0.0,23,6,32,2,0.15,0.8,0.05,5.272001492684781
0.0,20,9,28,3,0.225,0.7,0.075,3.330368256050273
0.0,30,17,22,1,0.425,0.55,0.025,3.20670920894836
0.0,26,3,34,3,0.075,0.85,0.075,3.6808599137869464
0.0,25,4,32,4,0.1,0.8,0.1,3.4332233417427647
0.0,28,4,33,3,0.1,0.825,0.075,3.347883408519027
0.0,31,4,34,2,0.1,0.85,0.05,2.927165161002382
0.0,27,5,33,2,0.125,0.825,0.05,3.74817665604727
0.0,29,15,25,0,0.375,0.625,0.0,6.620397965080852
0.0,35,7,30,3,0.175,0.75,0.075,3.424477471060804
0.0,38,6,30,4,0.15,0.75,0.1,3.022187743287778
0.0,32,9,30,1,0.225,0.75,0.025,3.477107734832913
0.0,33,4,31,5,0.1,0.775,0.125,3.5965891669465577
0.0,36,7,30,3,0.175,0.75,0.075,3.6769336908963384
0.0,40,1,35,4,0.025,0.875,0.1,3.302121415029359
0.0,39,6,30,4,0.15,0.75,0.1,3.263919900237729
0.0,34,8,29,3,0.2,0.725,0.075,3.124166581915283
