,S_count,S_count,I_count,I_count,R_count,R_count,S_proportion,S_proportion,I_proportion,I_proportion,R_proportion,R_proportion,nnd_before_predator,nnd_before_predator
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
delta,,,,,,,,,,,,,,
0.0,8.32,6.399,28.416,5.914,3.264,1.844,0.208,0.16,0.71,0.148,0.082,0.046,3.789,0.86
0.5,7.796,5.573,29.088,5.374,3.116,1.735,0.195,0.139,0.727,0.134,0.078,0.043,3.635,0.662
1.0,8.376,6.866,28.508,6.368,3.116,1.603,0.209,0.172,0.713,0.159,0.078,0.04,3.698,0.714
1.5,8.72,7.888,25.748,6.932,5.532,2.624,0.218,0.197,0.644,0.173,0.138,0.066,3.655,0.579
2.0,8.132,7.129,25.916,6.287,5.952,2.603,0.203,0.178,0.648,0.157,0.149,0.065,3.754,0.84
2.5,11.648,12.146,21.196,9.452,7.156,4.126,0.291,0.304,0.53,0.236,0.179,0.103,3.688,0.697
3.0,12.32,12.392,20.928,9.814,6.752,3.932,0.308,0.31,0.523,0.245,0.169,0.098,3.643,0.61
3.5,16.98,15.675,16.056,11.529,6.964,5.793,0.424,0.392,0.401,0.288,0.174,0.145,3.677,0.692
4.0,16.492,15.382,15.932,11.029,7.576,5.901,0.412,0.385,0.398,0.276,0.189,0.148,3.676,0.676
4.5,27.916,15.714,7.408,10.437,4.676,7.266,0.698,0.393,0.185,0.261,0.117,0.182,3.687,0.673
5.0,28.436,15.524,7.428,10.513,4.136,6.629,0.711,0.388,0.186,0.263,0.103,0.166,3.647,0.566
5.5,37.748,8.392,1.432,5.945,0.82,3.487,0.944,0.21,0.036,0.149,0.02,0.087,3.662,0.771
6.0,36.38,10.46,2.348,7.305,1.272,4.488,0.91,0.261,0.059,0.183,0.032,0.112,3.612,0.569
6.5,39.036,5.534,0.468,3.01,0.496,2.975,0.976,0.138,0.012,0.075,0.012,0.074,3.735,0.807
7.0,39.284,4.737,0.484,3.523,0.232,1.815,0.982,0.118,0.012,0.088,0.006,0.045,3.699,0.71
7.5,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.631,0.665
8.0,39.88,1.897,0.044,0.696,0.076,1.202,0.997,0.047,0.001,0.017,0.002,0.03,3.718,0.723
8.5,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.642,0.693
9.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.799,0.955
9.5,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.623,0.634
10.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.716,0.73
