delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion
0.0,0,40,0,0,1.0,0.0,0.0
0.0,1,40,0,0,1.0,0.0,0.0
0.0,2,24,15,1,0.6,0.375,0.025
0.0,3,40,0,0,1.0,0.0,0.0
0.0,4,8,27,5,0.2,0.675,0.125
0.0,5,40,0,0,1.0,0.0,0.0
0.0,6,40,0,0,1.0,0.0,0.0
0.0,7,13,25,2,0.325,0.625,0.05
0.0,8,16,22,2,0.4,0.55,0.05
0.0,9,30,9,1,0.75,0.225,0.025
0.0,10,21,17,2,0.525,0.425,0.05
0.0,11,14,23,3,0.35,0.575,0.075
0.0,12,14,22,4,0.35,0.55,0.1
0.0,13,40,0,0,1.0,0.0,0.0
0.0,14,16,23,1,0.4,0.575,0.025
0.0,15,16,18,6,0.4,0.45,0.15
0.0,16,22,15,3,0.55,0.375,0.075
0.0,17,24,14,2,0.6,0.35,0.05
0.0,18,40,0,0,1.0,0.0,0.0
0.0,19,40,0,0,1.0,0.0,0.0
0.0,20,23,14,3,0.575,0.35,0.075
0.0,21,17,21,2,0.425,0.525,0.05
0.0,22,15,23,2,0.375,0.575,0.05
0.0,23,22,15,3,0.55,0.375,0.075
0.0,24,8,30,2,0.2,0.75,0.05
0.0,25,15,22,3,0.375,0.55,0.075
0.0,26,40,0,0,1.0,0.0,0.0
0.0,27,40,0,0,1.0,0.0,0.0
0.0,28,23,17,0,0.575,0.425,0.0
0.0,29,40,0,0,1.0,0.0,0.0
0.0,30,6,29,5,0.15,0.725,0.125
0.0,31,16,23,1,0.4,0.575,0.025
0.0,32,28,10,2,0.7,0.25,0.05
0.0,33,20,19,1,0.5,0.475,0.025
0.0,34,18,21,1,0.45,0.525,0.025
0.0,35,19,19,2,0.475,0.475,0.05
0.0,36,18,21,1,0.45,0.525,0.025
0.0,37,19,20,1,0.475,0.5,0.025
0.0,38,17,20,3,0.425,0.5,0.075
0.0,39,11,27,2,0.275,0.675,0.05
0.0,40,6,31,3,0.15,0.775,0.075
0.0,41,24,14,2,0.6,0.35,0.05
0.0,42,13,26,1,0.325,0.65,0.025
0.0,43,14,22,4,0.35,0.55,0.1
0.0,44,24,14,2,0.6,0.35,0.05
0.0,45,9,24,7,0.225,0.6,0.175
0.0,46,23,17,0,0.575,0.425,0.0
0.0,47,16,19,5,0.4,0.475,0.125
0.0,48,18,18,4,0.45,0.45,0.1
0.0,49,15,22,3,0.375,0.55,0.075
0.0,50,15,20,5,0.375,0.5,0.125
0.0,51,24,14,2,0.6,0.35,0.05
0.0,52,17,18,5,0.425,0.45,0.125
0.0,53,23,17,0,0.575,0.425,0.0
0.0,54,29,10,1,0.725,0.25,0.025
0.0,55,40,0,0,1.0,0.0,0.0
0.0,56,9,29,2,0.225,0.725,0.05
0.0,57,11,24,5,0.275,0.6,0.125
0.0,58,40,0,0,1.0,0.0,0.0
0.0,59,23,17,0,0.575,0.425,0.0
0.0,60,12,25,3,0.3,0.625,0.075
0.0,61,15,23,2,0.375,0.575,0.05
0.0,62,40,0,0,1.0,0.0,0.0
0.0,63,17,20,3,0.425,0.5,0.075
0.0,64,26,14,0,0.65,0.35,0.0
0.0,65,40,0,0,1.0,0.0,0.0
0.0,66,31,8,1,0.775,0.2,0.025
0.0,67,8,27,5,0.2,0.675,0.125
0.0,68,40,0,0,1.0,0.0,0.0
0.0,69,40,0,0,1.0,0.0,0.0
0.0,70,40,0,0,1.0,0.0,0.0
0.0,71,23,17,0,0.575,0.425,0.0
0.0,72,10,25,5,0.25,0.625,0.125
0.0,73,40,0,0,1.0,0.0,0.0
0.0,74,26,14,0,0.65,0.35,0.0
0.0,75,12,27,1,0.3,0.675,0.025
0.0,76,10,28,2,0.25,0.7,0.05
0.0,77,16,22,2,0.4,0.55,0.05
0.0,78,6,27,7,0.15,0.675,0.175
0.0,79,10,28,2,0.25,0.7,0.05
0.0,80,40,0,0,1.0,0.0,0.0
0.0,81,40,0,0,1.0,0.0,0.0
0.0,82,26,11,3,0.65,0.275,0.075
0.0,83,23,16,1,0.575,0.4,0.025
0.0,84,13,25,2,0.325,0.625,0.05
0.0,85,15,22,3,0.375,0.55,0.075
0.0,86,24,15,1,0.6,0.375,0.025
0.0,87,18,19,3,0.45,0.475,0.075
0.0,88,17,22,1,0.425,0.55,0.025
0.0,89,17,21,2,0.425,0.525,0.05
0.0,90,40,0,0,1.0,0.0,0.0
0.0,91,22,16,2,0.55,0.4,0.05
0.0,92,16,22,2,0.4,0.55,0.05
0.0,93,40,0,0,1.0,0.0,0.0
0.0,94,16,22,2,0.4,0.55,0.05
0.0,95,17,20,3,0.425,0.5,0.075
0.0,96,40,0,0,1.0,0.0,0.0
0.0,97,16,24,0,0.4,0.6,0.0
0.0,98,40,0,0,1.0,0.0,0.0
0.0,99,40,0,0,1.0,0.0,0.0
0.5,0,24,16,0,0.6,0.4,0.0
0.5,1,23,14,3,0.575,0.35,0.075
0.5,2,40,0,0,1.0,0.0,0.0
0.5,3,22,16,2,0.55,0.4,0.05
0.5,4,11,26,3,0.275,0.65,0.075
0.5,5,14,21,5,0.35,0.525,0.125
0.5,6,40,0,0,1.0,0.0,0.0
0.5,7,40,0,0,1.0,0.0,0.0
0.5,8,16,21,3,0.4,0.525,0.075
0.5,9,7,31,2,0.175,0.775,0.05
0.5,10,40,0,0,1.0,0.0,0.0
0.5,11,21,18,1,0.525,0.45,0.025
0.5,12,28,12,0,0.7,0.3,0.0
0.5,13,40,0,0,1.0,0.0,0.0
0.5,14,17,21,2,0.425,0.525,0.05
0.5,15,40,0,0,1.0,0.0,0.0
0.5,16,17,23,0,0.425,0.575,0.0
0.5,17,40,0,0,1.0,0.0,0.0
0.5,18,13,24,3,0.325,0.6,0.075
0.5,19,22,18,0,0.55,0.45,0.0
0.5,20,4,30,6,0.1,0.75,0.15
0.5,21,40,0,0,1.0,0.0,0.0
0.5,22,15,20,5,0.375,0.5,0.125
0.5,23,22,16,2,0.55,0.4,0.05
0.5,24,40,0,0,1.0,0.0,0.0
0.5,25,25,15,0,0.625,0.375,0.0
0.5,26,40,0,0,1.0,0.0,0.0
0.5,27,20,18,2,0.5,0.45,0.05
0.5,28,18,20,2,0.45,0.5,0.05
0.5,29,20,18,2,0.5,0.45,0.05
0.5,30,19,18,3,0.475,0.45,0.075
0.5,31,9,29,2,0.225,0.725,0.05
0.5,32,13,24,3,0.325,0.6,0.075
0.5,33,27,11,2,0.675,0.275,0.05
0.5,34,23,15,2,0.575,0.375,0.05
0.5,35,22,15,3,0.55,0.375,0.075
0.5,36,22,16,2,0.55,0.4,0.05
0.5,37,40,0,0,1.0,0.0,0.0
0.5,38,17,20,3,0.425,0.5,0.075
0.5,39,40,0,0,1.0,0.0,0.0
0.5,40,21,18,1,0.525,0.45,0.025
0.5,41,19,21,0,0.475,0.525,0.0
0.5,42,17,23,0,0.425,0.575,0.0
0.5,43,13,23,4,0.325,0.575,0.1
0.5,44,21,17,2,0.525,0.425,0.05
0.5,45,40,0,0,1.0,0.0,0.0
0.5,46,12,25,3,0.3,0.625,0.075
0.5,47,10,25,5,0.25,0.625,0.125
0.5,48,40,0,0,1.0,0.0,0.0
0.5,49,10,26,4,0.25,0.65,0.1
0.5,50,40,0,0,1.0,0.0,0.0
0.5,51,18,19,3,0.45,0.475,0.075
0.5,52,40,0,0,1.0,0.0,0.0
0.5,53,25,14,1,0.625,0.35,0.025
0.5,54,19,19,2,0.475,0.475,0.05
0.5,55,31,8,1,0.775,0.2,0.025
0.5,56,40,0,0,1.0,0.0,0.0
0.5,57,40,0,0,1.0,0.0,0.0
0.5,58,40,0,0,1.0,0.0,0.0
0.5,59,18,22,0,0.45,0.55,0.0
0.5,60,17,19,4,0.425,0.475,0.1
0.5,61,9,28,3,0.225,0.7,0.075
0.5,62,16,21,3,0.4,0.525,0.075
0.5,63,16,18,6,0.4,0.45,0.15
0.5,64,17,20,3,0.425,0.5,0.075
0.5,65,40,0,0,1.0,0.0,0.0
0.5,66,24,15,1,0.6,0.375,0.025
0.5,67,29,9,2,0.725,0.225,0.05
0.5,68,40,0,0,1.0,0.0,0.0
0.5,69,40,0,0,1.0,0.0,0.0
0.5,70,29,10,1,0.725,0.25,0.025
0.5,71,18,21,1,0.45,0.525,0.025
0.5,72,28,12,0,0.7,0.3,0.0
0.5,73,17,19,4,0.425,0.475,0.1
0.5,74,14,21,5,0.35,0.525,0.125
0.5,75,24,14,2,0.6,0.35,0.05
0.5,76,29,8,3,0.725,0.2,0.075
0.5,77,17,20,3,0.425,0.5,0.075
0.5,78,24,14,2,0.6,0.35,0.05
0.5,79,7,29,4,0.175,0.725,0.1
0.5,80,40,0,0,1.0,0.0,0.0
