delta,trial,S_count,I_count,R_count,S_proportion,I_proportion,R_proportion,nnd_before_predator
0.0,11,40,0,0,1.0,0.0,0.0,6.682490610482485
0.0,4,10,29,1,0.25,0.725,0.025,8.076772739665367
0.0,9,9,27,4,0.225,0.675,0.1,7.541278032989823
0.0,7,8,27,5,0.2,0.675,0.125,9.50359675595789
0.0,6,13,26,1,0.325,0.65,0.025,6.215002133588486
0.0,12,7,31,2,0.175,0.775,0.05,6.352411087647573
0.0,0,15,25,0,0.375,0.625,0.0,5.7979799329102075
0.0,1,9,27,4,0.225,0.675,0.1,7.161495123872186
0.0,2,13,22,5,0.325,0.55,0.125,4.923344616816104
0.0,10,9,30,1,0.225,0.75,0.025,5.282327287803716
0.0,8,9,28,3,0.225,0.7,0.075,6.399860878226424
0.0,5,9,27,4,0.225,0.675,0.1,5.379194787087949
0.0,3,13,23,4,0.325,0.575,0.1,5.5361452196396685
0.0,13,12,24,4,0.3,0.6,0.1,4.911450668048244
0.0,16,16,22,2,0.4,0.55,0.05,8.826849292621727
0.0,19,15,24,1,0.375,0.6,0.025,7.926859316418131
0.0,21,7,28,5,0.175,0.7,0.125,7.232070895014547
0.0,15,10,26,4,0.25,0.65,0.1,6.969060571382815
0.0,14,9,27,4,0.225,0.675,0.1,7.462627661220772
0.0,24,8,26,6,0.2,0.65,0.15,5.241427310293368
0.0,18,8,31,1,0.2,0.775,0.025,7.888939125085119
0.0,17,7,30,3,0.175,0.75,0.075,5.690368643179903
0.0,23,12,24,4,0.3,0.6,0.1,5.588944624907772
0.0,20,11,26,3,0.275,0.65,0.075,6.111322978744246
0.0,32,40,0,0,1.0,0.0,0.0,6.248725907444438
0.0,22,5,28,7,0.125,0.7,0.175,5.0549346886208495
0.0,27,17,21,2,0.425,0.525,0.05,5.888110826608739
0.0,25,11,23,6,0.275,0.575,0.15,10.860317289046085
0.0,28,7,29,4,0.175,0.725,0.1,7.221485402388149
0.0,30,15,20,5,0.375,0.5,0.125,5.4820264825042395
0.0,31,5,30,5,0.125,0.75,0.125,5.391312507080717
0.0,33,14,24,2,0.35,0.6,0.05,5.420472823996877
0.0,26,16,19,5,0.4,0.475,0.125,4.956821055614233
0.0,29,15,23,2,0.375,0.575,0.05,6.598598274256945
0.0,42,40,0,0,1.0,0.0,0.0,7.488332520117263
0.0,36,8,27,5,0.2,0.675,0.125,5.181250456483241
0.0,35,10,27,3,0.25,0.675,0.075,5.002713316662129
0.0,37,7,26,7,0.175,0.65,0.175,7.4512623973196215
0.0,38,9,28,3,0.225,0.7,0.075,5.204519558078505
0.0,40,19,19,2,0.475,0.475,0.05,7.319781325102906
0.0,34,12,24,4,0.3,0.6,0.1,6.69434463096519
0.0,39,7,26,7,0.175,0.65,0.175,8.558261978089224
0.0,44,9,28,3,0.225,0.7,0.075,6.078625269961496
0.0,41,13,24,3,0.325,0.6,0.075,6.2508792697008655
0.0,47,20,19,1,0.5,0.475,0.025,6.494771245368386
0.0,52,40,0,0,1.0,0.0,0.0,7.27440288053424
0.0,43,16,22,2,0.4,0.55,0.05,9.701977919496153
0.0,48,15,20,5,0.375,0.5,0.125,5.879052033256373
0.0,45,17,21,2,0.425,0.525,0.05,5.063809869329326
0.0,46,13,23,4,0.325,0.575,0.1,6.575232134114815
0.0,49,28,11,1,0.7,0.275,0.025,7.4703456455853985
0.0,51,11,28,1,0.275,0.7,0.025,8.320988953920594
0.0,50,20,19,1,0.5,0.475,0.025,8.731449880554493
0.0,55,12,24,4,0.3,0.6,0.1,6.395317275973661
0.0,58,7,32,1,0.175,0.8,0.025,5.1148863704104
0.0,57,11,28,1,0.275,0.7,0.025,9.609974661183934
0.0,56,17,20,3,0.425,0.5,0.075,6.637565999327487
0.0,54,4,32,4,0.1,0.8,0.1,6.044512230970564
0.0,62,5,33,2,0.125,0.825,0.05,6.353908506179859
0.0,53,11,23,6,0.275,0.575,0.15,5.1292173295782835
0.0,61,10,28,2,0.25,0.7,0.05,7.018159339952862
0.0,59,4,35,1,0.1,0.875,0.025,5.761998949395615
0.0,60,7,30,3,0.175,0.75,0.075,7.6201236435551944
0.0,63,12,25,3,0.3,0.625,0.075,6.4942394166056605
0.0,64,10,28,2,0.25,0.7,0.05,6.5016544695078835
0.0,66,20,20,0,0.5,0.5,0.0,6.981711938290839
0.0,65,9,28,3,0.225,0.7,0.075,7.701423127281148
0.0,68,10,28,2,0.25,0.7,0.05,8.218407769283598
0.0,71,12,25,3,0.3,0.625,0.075,5.677005072114005
0.0,69,11,26,3,0.275,0.65,0.075,5.942050462877767
0.0,70,13,21,6,0.325,0.525,0.15,6.112833678143242
0.0,72,8,23,9,0.2,0.575,0.225,5.202502126887934
0.0,74,9,28,3,0.225,0.7,0.075,5.653459343632268
0.0,67,8,28,4,0.2,0.7,0.1,5.273332685580984
0.0,77,9,28,3,0.225,0.7,0.075,5.1770786248306875
0.0,73,3,36,1,0.075,0.9,0.025,6.467545816482518
0.0,76,6,31,3,0.15,0.775,0.075,5.340731670755969
0.0,78,10,26,4,0.25,0.65,0.1,6.067188965790682
0.0,75,8,30,2,0.2,0.75,0.05,5.491681724654863
0.0,80,6,31,3,0.15,0.775,0.075,8.704999170427305
0.0,89,40,0,0,1.0,0.0,0.0,8.045227433338457
0.0,83,8,30,2,0.2,0.75,0.05,8.404322578320883
0.0,79,8,32,0,0.2,0.8,0.0,5.981667919807364
0.0,84,13,23,4,0.325,0.575,0.1,7.045812762523356
0.0,82,12,25,3,0.3,0.625,0.075,5.448572118753859
0.0,86,14,24,2,0.35,0.6,0.05,5.316633376103427
0.0,81,8,30,2,0.2,0.75,0.05,8.455247904152095
0.0,87,4,32,4,0.1,0.8,0.1,6.244789195052174
0.0,95,40,0,0,1.0,0.0,0.0,7.452440780754034
0.0,99,40,0,0,1.0,0.0,0.0,5.559715728114571
0.0,90,11,26,3,0.275,0.65,0.075,6.4001710453798895
0.0,85,11,26,3,0.275,0.65,0.075,4.7179141715455
0.0,88,4,33,3,0.1,0.825,0.075,4.655909082529336
0.0,91,11,26,3,0.275,0.65,0.075,6.741534615883703
0.0,92,13,26,1,0.325,0.65,0.025,11.042552516260207
0.0,105,40,0,0,1.0,0.0,0.0,5.009738168625406
0.0,100,25,14,1,0.625,0.35,0.025,6.123772999043391
0.0,96,7,31,2,0.175,0.775,0.05,5.483097711300058
0.0,97,10,26,4,0.25,0.65,0.1,5.700737197129546
0.0,98,14,24,2,0.35,0.6,0.05,5.478521604391469
0.0,93,7,29,4,0.175,0.725,0.1,6.8685818289891944
0.0,104,18,22,0,0.45,0.55,0.0,5.751908090865871
0.0,102,3,33,4,0.075,0.825,0.1,5.234692983874765
0.0,101,12,24,4,0.3,0.6,0.1,5.201943907229589
0.0,94,5,34,1,0.125,0.85,0.025,5.398296060696151
