,S_count,S_count,I_count,I_count,R_count,R_count,S_proportion,S_proportion,I_proportion,I_proportion,R_proportion,R_proportion,nnd_before_predator,nnd_before_predator
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
delta,,,,,,,,,,,,,,
0.0,12.376,7.425,24.82,6.852,2.804,1.721,0.309,0.186,0.62,0.171,0.07,0.043,6.41,1.295
0.5,13.644,8.778,23.8,8.009,2.556,1.608,0.341,0.219,0.595,0.2,0.064,0.04,6.204,1.029
1.0,13.52,8.917,23.904,8.121,2.576,1.791,0.338,0.223,0.598,0.203,0.064,0.045,6.352,1.174
1.5,13.708,8.901,21.536,7.467,4.756,2.559,0.343,0.223,0.538,0.187,0.119,0.064,6.332,1.241
2.0,14.864,9.639,20.132,7.947,5.004,2.873,0.372,0.241,0.503,0.199,0.125,0.072,6.491,1.14
2.5,14.956,8.656,18.608,6.94,6.436,3.178,0.374,0.216,0.465,0.174,0.161,0.079,6.39,1.228
3.0,15.492,9.833,18.488,7.587,6.02,3.427,0.387,0.246,0.462,0.19,0.15,0.086,6.323,1.192
3.5,18.312,11.453,14.728,8.247,6.96,4.464,0.458,0.286,0.368,0.206,0.174,0.112,6.436,1.204
4.0,17.844,11.077,15.464,8.177,6.692,4.079,0.446,0.277,0.387,0.204,0.167,0.102,6.52,1.299
4.5,20.556,12.56,12.168,8.719,7.276,5.525,0.514,0.314,0.304,0.218,0.182,0.138,6.371,1.272
5.0,21.308,12.875,11.916,8.979,6.776,5.516,0.533,0.322,0.298,0.224,0.169,0.138,6.469,1.211
5.5,26.304,13.676,8.496,8.952,5.2,5.896,0.658,0.342,0.212,0.224,0.13,0.147,6.345,1.31
6.0,27.144,13.483,7.648,8.723,5.208,6.066,0.679,0.337,0.191,0.218,0.13,0.152,6.377,1.258
6.5,34.564,10.683,3.28,6.782,2.156,4.76,0.864,0.267,0.082,0.17,0.054,0.119,6.319,1.172
7.0,32.2,12.203,4.356,7.592,3.444,6.288,0.805,0.305,0.109,0.19,0.086,0.157,6.382,1.155
7.5,36.84,8.891,1.46,4.653,1.7,5.038,0.921,0.222,0.036,0.116,0.042,0.126,6.439,1.327
8.0,37.272,8.489,1.508,5.168,1.22,4.275,0.932,0.212,0.038,0.129,0.03,0.107,6.246,1.248
8.5,39.096,4.855,0.448,2.63,0.456,2.818,0.977,0.121,0.011,0.066,0.011,0.07,6.173,1.157
9.0,39.492,3.624,0.276,2.059,0.232,1.696,0.987,0.091,0.007,0.051,0.006,0.042,6.323,1.115
9.5,39.74,2.91,0.1,1.303,0.16,1.841,0.994,0.073,0.002,0.033,0.004,0.046,6.448,1.265
10.0,39.84,1.544,0.044,0.459,0.116,1.185,0.996,0.039,0.001,0.011,0.003,0.03,6.314,1.108
