,S_count,S_count,I_count,I_count,R_count,R_count,S_proportion,S_proportion,I_proportion,I_proportion,R_proportion,R_proportion
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
delta,,,,,,,,,,,,
0.0,23.28,11.215,14.97,9.999,1.75,1.766,0.582,0.28,0.374,0.25,0.044,0.044
0.5,24.31,10.673,13.99,9.499,1.7,1.624,0.608,0.267,0.35,0.237,0.042,0.041
1.0,22.9,11.438,15.27,10.308,1.83,1.798,0.572,0.286,0.382,0.258,0.046,0.045
1.5,23.97,10.247,12.98,8.293,3.05,2.414,0.599,0.256,0.324,0.207,0.076,0.06
2.0,24.31,11.054,12.7,9.03,2.99,2.725,0.608,0.276,0.318,0.226,0.075,0.068
2.5,26.47,11.501,10.11,8.787,3.42,3.248,0.662,0.288,0.253,0.22,0.086,0.081
3.0,27.04,11.375,10.01,8.844,2.95,2.962,0.676,0.284,0.25,0.221,0.074,0.074
3.5,27.29,11.461,8.77,8.157,3.94,3.997,0.682,0.287,0.219,0.204,0.098,0.1
4.0,29.74,11.123,6.94,7.842,3.32,3.951,0.743,0.278,0.174,0.196,0.083,0.099
4.5,31.13,10.265,5.54,6.663,3.33,4.344,0.778,0.257,0.138,0.167,0.083,0.109
5.0,30.8,10.747,6.03,7.415,3.17,4.0,0.77,0.269,0.151,0.185,0.079,0.1
5.5,34.3,9.446,3.58,6.132,2.12,4.051,0.858,0.236,0.09,0.153,0.053,0.101
6.0,34.61,9.46,3.36,6.081,2.03,3.925,0.865,0.237,0.084,0.152,0.051,0.098
6.5,37.15,7.716,1.27,3.703,1.58,4.488,0.929,0.193,0.032,0.093,0.04,0.112
7.0,36.52,8.065,2.02,4.971,1.46,3.557,0.913,0.202,0.05,0.124,0.036,0.089
7.5,37.25,7.567,1.25,3.729,1.5,4.145,0.931,0.189,0.031,0.093,0.038,0.104
8.0,38.14,5.814,1.02,3.372,0.84,2.604,0.953,0.145,0.026,0.084,0.021,0.065
8.5,39.07,4.641,0.23,1.543,0.7,3.529,0.977,0.116,0.006,0.039,0.018,0.088
9.0,39.57,3.066,0.24,1.832,0.19,1.354,0.989,0.077,0.006,0.046,0.005,0.034
9.5,39.72,2.8,0.12,1.2,0.16,1.6,0.993,0.07,0.003,0.03,0.004,0.04
10.0,39.97,0.3,0.0,0.0,0.03,0.3,0.999,0.007,0.0,0.0,0.001,0.008
