,S_count,S_count,I_count,I_count,R_count,R_count,S_proportion,S_proportion,I_proportion,I_proportion,R_proportion,R_proportion
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
delta,,,,,,,,,,,,
0.0,18.098,11.632,19.768,10.586,2.134,1.686,0.452,0.291,0.494,0.265,0.053,0.042
0.5,18.128,11.654,19.614,10.56,2.258,1.777,0.453,0.291,0.49,0.264,0.056,0.044
1.0,17.246,10.917,20.54,9.93,2.214,1.74,0.431,0.273,0.514,0.248,0.055,0.043
1.5,18.094,11.181,17.888,9.355,4.018,2.76,0.452,0.28,0.447,0.234,0.1,0.069
2.0,19.214,11.837,16.938,9.82,3.848,2.798,0.48,0.296,0.423,0.245,0.096,0.07
2.5,20.81,12.356,14.324,9.458,4.866,3.665,0.52,0.309,0.358,0.236,0.122,0.092
3.0,20.992,12.727,14.154,9.77,4.854,3.851,0.525,0.318,0.354,0.244,0.121,0.096
3.5,24.07,13.16,10.91,9.333,5.02,4.867,0.602,0.329,0.273,0.233,0.126,0.122
4.0,25.682,13.332,10.068,9.632,4.25,4.591,0.642,0.333,0.252,0.241,0.106,0.115
4.5,29.034,13.076,7.042,8.654,3.924,5.284,0.726,0.327,0.176,0.216,0.098,0.132
5.0,28.738,13.377,7.308,9.053,3.954,5.369,0.718,0.334,0.183,0.226,0.099,0.134
5.5,35.006,10.163,2.898,6.276,2.096,4.757,0.875,0.254,0.072,0.157,0.052,0.119
6.0,35.268,10.214,2.824,6.395,1.908,4.493,0.882,0.255,0.071,0.16,0.048,0.112
6.5,38.75,5.709,0.752,3.631,0.498,2.546,0.969,0.143,0.019,0.091,0.012,0.064
7.0,38.754,5.868,0.684,3.48,0.562,2.834,0.969,0.147,0.017,0.087,0.014,0.071
7.5,39.33,4.191,0.376,2.787,0.294,1.978,0.983,0.105,0.009,0.07,0.007,0.049
8.0,39.652,3.224,0.17,1.765,0.178,1.73,0.991,0.081,0.004,0.044,0.004,0.043
8.5,39.862,2.198,0.06,0.967,0.078,1.236,0.997,0.055,0.002,0.024,0.002,0.031
9.0,39.898,1.648,0.05,0.805,0.052,0.843,0.997,0.041,0.001,0.02,0.001,0.021
9.5,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
